Wojewodztwo,2012,2015,2018,2021,2024,szerokosc,dlugosc
Dolnośląskie,3987,4136,4461,6062,8663,51.1079 ,17.0385 
Kujawsko-Pomorskie,3272,3217,3866,5117,6740,53.1235 ,18.0084 
Lubelskie,3948,3975,4562,5888,8205,51.2465 ,22.5684 
Lubuskie,2579,2603,3141,4109,6117,51.9356 ,15.5062 
Łódzkie,3447,3422,4046,5595,7588,51.7592 ,19.4560 
Małopolskie,5699,5893,6000,8036,11822,50.0647 ,19.9450 
Mazowieckie,6582,6654,7250,8379,12228,52.2297 ,21.0122 
Opolskie,2831,2768,3118,4027,6084,50.6711 ,17.9253 
Podkarpackie,3371,3661,3942,5368,7352,50.0413 ,21.9990 
Podlaskie,3921,3920,4193,5688,8077,53.1325 ,23.1688 
Pomorskie,5007,4862,5698,7493,9905,54.3520 ,18.6466 
Śląskie,2751,2736,3096,4473,6745,50.2649 ,19.0238 
Świętokrzyskie,3757,3574,3775,5101,7227,50.8661 ,20.6286 
Warmińsko-Mazurskie,3215,3181,3515,4790,6425,53.7799 ,20.4942 
Wielkopolskie,4138,4208,4550,5354,7736,52.4064 ,16.9252 
Zachodniopomorskie,3671,3493,4358,5497,7244,53.4285 ,14.5528 
