Wojewodztwo,2012,2015,2018,2021,2024
Dolnośląskie,103.7,99.2,101.2,104.6,103.3
Kujawsko-Pomorskie,103.7,99.1,101.6,105.1,103.6
Lubelskie,103.8,98.8,101.4,104.8,102.8
Lubuskie,103.8,99.6,102.0,105.3,104.4
Łódzkie,103.8,98.8,101.5,105.5,103.0
Małopolskie,103.6,99.2,102.2,105.9,104.2
Mazowieckie,103.5,99.1,101.6,104.9,103.8
Opolskie,103.7,98.9,101.7,105.2,102.8
Podkarpackie,104.1,98.9,101.6,104.6,104.0
Podlaskie,103.7,98.7,101.4,105.0,103.3
Pomorskie,103.4,99.2,101.9,104.9,103.8
Śląskie,103.3,98.8,101.3,105.0,104.0
Świętokrzyskie,104.0,98.3,101.9,105.5,102.9
Warmińsko-Mazurskie,104.1,99.2,101.5,105.3,102.9
Wielkopolskie,104.0,98.9,101.8,105.3,104.0
Zachodniopomorskie,103.7,99.7,101.4,104.8,103.8
